[2024-03-13 11:19:59,519] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:19:59,520] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:00,522] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:01,521] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 11:20:01,521] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:20:01,524] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:01,524] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:01,524] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-13 11:20:02,526] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:03,524] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 11:20:03,525] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:03,533] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:04,536] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:05,527] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-13 11:20:05,528] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:05,537] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:06,539] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:06,539] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:07,531] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 11:20:07,531] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:20:07,532] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-13 11:20:07,541] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:08,543] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:09,535] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 11:20:09,546] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:20:09,547] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:20:10,548] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:20:11,537] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-13 11:20:11,537] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:11,537] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-13 11:20:11,550] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:20:11,550] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:12,552] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:20:13,540] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-13 11:20:13,541] [drone_actions] INFO Overall State 0: Normal
[2024-03-13 11:20:13,541] [drone_actions] INFO [92mAction: Continue mission[0m
[2024-03-13 11:20:13,553] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:20:37,894] [drone_actions] INFO Overall state 0: Normal
[2024-03-13 11:20:38,897] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:20:38,897] [drone_actions] INFO Overall State 0: Normal
[2024-03-13 11:20:38,897] [drone_actions] INFO [92mAction: Continue mission[0m
[2024-03-13 11:20:39,897] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-13 11:20:39,898] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:39,898] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-13 11:20:39,898] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:20:40,900] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:20:40,900] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:41,900] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-13 11:20:41,901] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:20:42,903] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:42,903] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:43,902] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 11:20:43,903] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:20:43,903] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-13 11:20:43,904] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:44,906] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:45,905] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 11:20:45,907] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:45,907] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:45,907] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
